,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
974,ins_755093793,M3_2_6,j_1274904,1,Terminated,386335,386484,m_200,1,1,90.0,139.0,0.12,0.15
976,ins_1117899029,M3_2_6,j_1274904,1,Terminated,386335,386576,m_2704,1,1,90.0,164.0,0.13,0.16
978,ins_918045542,M3_2_6,j_1274904,1,Terminated,386335,386510,m_2765,1,1,87.0,160.0,0.13,0.16
981,ins_887195942,M3_2_6,j_1274904,1,Terminated,386335,386599,m_1060,1,1,82.0,135.0,0.13,0.16
988,ins_159020020,M3_2_6,j_1274904,1,Terminated,386335,386645,m_2100,1,1,72.0,129.0,0.13,0.16
991,ins_615274758,M3_2_6,j_1274904,1,Terminated,386336,386676,m_511,1,1,67.0,137.0,0.14,0.16
992,ins_253883450,M3_2_6,j_1274904,1,Terminated,386335,386543,m_2134,1,1,90.0,161.0,0.13,0.16
998,ins_999365874,M3_2_6,j_1274904,1,Terminated,386335,386526,m_3711,1,1,90.0,154.0,0.13,0.16
1001,ins_836420748,M3_2_6,j_1274904,1,Terminated,386335,386482,m_1271,1,1,79.0,154.0,0.12,0.15
1009,ins_955206998,M3_2_6,j_1274904,1,Terminated,386335,386566,m_2028,1,1,91.0,158.0,0.13,0.16
1010,ins_240375889,M3_2_6,j_1274904,1,Terminated,386335,386601,m_1616,1,1,82.0,139.0,0.13,0.16
1012,ins_999365789,M3_2_6,j_1274904,1,Terminated,386335,386545,m_139,1,1,81.0,133.0,0.13,0.16
1018,ins_1115812151,M3_2_6,j_1274904,1,Terminated,386335,386576,m_3730,1,1,90.0,155.0,0.13,0.16
1019,ins_1115812952,M3_2_6,j_1274904,1,Terminated,386335,386581,m_2548,1,1,89.0,159.0,0.13,0.16
1020,ins_526423607,M3_2_6,j_1274904,1,Terminated,386335,386496,m_3230,1,1,90.0,150.0,0.12,0.16
1021,ins_1280563834,M3_2_6,j_1274904,1,Terminated,386335,386565,m_3584,1,1,91.0,191.0,0.13,0.16
1023,ins_77668987,M3_2_6,j_1274904,1,Terminated,386336,386672,m_1870,1,1,68.0,135.0,0.14,0.16
1027,ins_497919493,M3_2_6,j_1274904,1,Terminated,386335,386605,m_2429,1,1,81.0,137.0,0.13,0.16
1033,ins_836420652,M3_2_6,j_1274904,1,Terminated,386334,386465,m_3426,1,1,91.0,131.0,0.12,0.15
1034,ins_1280562847,M3_2_6,j_1274904,1,Terminated,386335,386551,m_674,1,1,97.0,168.0,0.13,0.16
1038,ins_497919844,M3_2_6,j_1274904,1,Terminated,386336,386694,m_3418,1,1,63.0,115.0,0.13,0.16
1039,ins_711223030,M3_2_6,j_1274904,1,Terminated,386335,386576,m_1211,1,1,89.0,136.0,0.13,0.16
1042,ins_755094185,M3_2_6,j_1274904,1,Terminated,386335,386470,m_3460,1,1,93.0,148.0,0.12,0.15
1046,ins_836420085,M3_2_6,j_1274904,1,Terminated,386334,386445,m_279,1,1,101.0,151.0,0.12,0.15
1049,ins_755094096,M3_2_6,j_1274904,1,Terminated,386335,386474,m_3353,1,1,90.0,139.0,0.12,0.15
1050,ins_755094008,M3_2_6,j_1274904,1,Terminated,386335,386484,m_1728,1,1,86.0,155.0,0.12,0.15
1068,ins_240374956,M3_2_6,j_1274904,1,Terminated,386335,386599,m_703,1,1,79.0,135.0,0.13,0.16
1069,ins_1117898615,M3_2_6,j_1274904,1,Terminated,386335,386582,m_1620,1,1,88.0,161.0,0.14,0.16
1071,ins_615274672,M3_2_6,j_1274904,1,Terminated,386335,386557,m_3094,1,1,95.0,129.0,0.13,0.16
1106,ins_91172239,M3_2_6,j_1274904,1,Terminated,386335,386637,m_852,1,1,73.0,129.0,0.13,0.16
1107,ins_240375799,M3_2_6,j_1274904,1,Terminated,386335,386574,m_3052,1,1,90.0,155.0,0.14,0.16
1122,ins_955207380,M3_2_6,j_1274904,1,Terminated,386335,386572,m_1677,1,1,89.0,160.0,0.13,0.16
1123,ins_91171902,M3_2_6,j_1274904,1,Terminated,386334,386531,m_291,1,1,99.0,164.0,0.13,0.16
1130,ins_711222450,M3_2_6,j_1274904,1,Terminated,386335,386586,m_1655,1,1,88.0,172.0,0.14,0.16
1136,ins_416583172,M3_2_6,j_1274904,1,Terminated,386335,386548,m_1324,1,1,97.0,172.0,0.14,0.16
1145,ins_836420264,M3_2_6,j_1274904,1,Terminated,386335,386370,m_133,1,1,91.0,142.0,0.07,0.09
1148,ins_755093684,M3_2_6,j_1274904,1,Terminated,386335,386485,m_2243,1,1,89.0,152.0,0.12,0.15
1150,ins_335223963,M3_2_6,j_1274904,1,Terminated,386336,386669,m_3683,1,1,68.0,189.0,0.14,0.16
